combattant,date_debut,age_debut,taille_cm,allonge_cm,poids_kg,garde,categorie_debut,cote_debut,adv1,adv1_combats_avant,adv1_pagerank,resultat_debut,methode_debut,nb_combats_total,date_dernier_combat,annee_debut,debut_propre,n_premiers,victoires_3premiers,adv3_combats_moy,adv3_pagerank_moy,adv3_nouveaux,ko_tko_3premiers,soumissions_3premiers,victoires_adv_central_3premiers,frappes_sig_moy_apres3,precision_frappes_apres3,takedowns_moy_apres3,precision_td_apres3,soumissions_tent_moy_apres3,ratio_allonge_taille,au_moins_3_combats,Y_8_combats_plus,dans_cohorte
Demian Maia,2010-04-10,32,185.42,182.88,77.1,Southpaw,Middleweight,550.0,Anderson Silva,10,,D,U-DEC,26,2021-06-12,2010,0,3,2.0,7.6667,,0.0,0.0,0.0,0.0,16.8,0.477,2.1,0.403,1.1,0.986,1,1,0
BJ Penn,2010-04-10,31,175.26,177.8,70.3,Orthodox,Lightweight,-780.0,Frankie Edgar,7,,D,U-DEC,10,2019-05-11,2010,0,3,1.0,12.6667,,0.0,1.0,0.0,0.0,37.3,0.584,1.25,0.399,0.6,1.014,1,1,0
Frankie Edgar,2010-04-10,28,167.64,172.72,65.8,Orthodox,Lightweight,620.0,BJ Penn,16,,V,U-DEC,22,2022-11-12,2010,0,3,3.0,14.3333,1.46,0.0,1.0,0.0,1.0,57.5455,0.436,3.1818,0.282,0.3636,1.03,1,1,0
Matt Hughes,2010-04-10,36,175.26,185.42,77.1,Switch,Welterweight,-380.0,Renzo Gracie,0,,V,KO/TKO,4,2011-09-24,2010,0,3,2.0,8.6667,,1.0,2.0,1.0,0.0,21.5417,0.532,1.9583,0.508,0.6667,1.058,1,0,0
Renzo Gracie,2010-04-10,43,177.8,177.8,83.9,Orthodox,Welterweight,340.0,Matt Hughes,21,,D,KO/TKO,1,2010-04-10,2010,1,1,,,,,,,,,,,,,1.0,0,0,1
Terry Etim,2010-04-10,24,185.42,185.42,70.3,Orthodox,Lightweight,-135.0,Rafael Dos Anjos,4,,D,SUB,4,2013-02-16,2010,0,3,1.0,2.6667,2.0195,0.0,1.0,2.0,0.0,21.6,0.448,0.3,0.133,1.0,1.0,1,0,0
Rafael Dos Anjos,2010-04-10,25,172.72,177.8,77.1,Southpaw,Lightweight,125.0,Terry Etim,7,,V,SUB,32,2024-10-26,2010,0,3,2.0,8.6667,2.1791,0.0,1.0,2.0,1.0,24.7143,0.34,2.0,0.336,1.1429,1.029,1,1,0
Kendall Grove,2010-04-10,27,198.12,200.66,83.9,Orthodox,Middleweight,160.0,Mark Munoz,3,,D,KO/TKO,4,2011-05-28,2010,0,3,1.0,4.6667,,0.0,1.0,0.0,0.0,20.25,0.402,0.3333,0.333,1.4167,1.013,1,0,0
Mark Munoz,2010-04-10,32,182.88,182.88,83.9,Orthodox,Middleweight,-170.0,Kendall Grove,9,,V,KO/TKO,12,2015-05-16,2010,0,3,2.0,7.6667,,0.0,1.0,0.0,0.0,33.3333,0.45,1.0,0.265,0.3333,1.0,1,1,0
Alexander Gustafsson,2010-04-10,23,195.58,200.66,93.0,Orthodox,Light Heavyweight,350.0,Phil Davis,1,,D,SUB,17,2022-07-23,2010,0,3,2.0,1.0,,0.0,0.0,3.0,0.0,9.5,0.3,0.75,0.29,1.25,1.026,1,1,0
